Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Thorndon,Thorndon,2000-01-01,2026-06-01,4.06%,direct,"Between January 2000 and June 2026, Thorndon achieved a capital growth of 4.06%.",,"Between January 2000 and June 2026, Thorndon achieved a capital growth of 4.06%."
Timberlea,Timberlea,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Timberlea was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Timberlea was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Tirohanga,Tirohanga,2000-01-01,2026-06-01,4.90%,calculated,,"The exact capital growth data for Tirohanga was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.90%.","The exact capital growth data for Tirohanga was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.90%."
Titahi Bay,Titahi Bay,2000-01-01,2026-06-01,6.38%,direct,"Between January 2000 and June 2026, Titahi Bay achieved a capital growth of 6.38%.",,"Between January 2000 and June 2026, Titahi Bay achieved a capital growth of 6.38%."
Totara Park,Totara Park,2000-01-01,2026-06-01,6.01%,direct,"Between January 2000 and June 2026, Totara Park achieved a capital growth of 6.01%.",,"Between January 2000 and June 2026, Totara Park achieved a capital growth of 6.01%."
Trentham,Trentham,2000-01-01,2026-06-01,6.51%,direct,"Between January 2000 and June 2026, Trentham achieved a capital growth of 6.51%.",,"Between January 2000 and June 2026, Trentham achieved a capital growth of 6.51%."
Vogeltown,Vogeltown,2000-01-01,2026-06-01,5.15%,direct,"Between January 2000 and June 2026, Vogeltown achieved a capital growth of 5.15%.",,"Between January 2000 and June 2026, Vogeltown achieved a capital growth of 5.15%."
Wadestown,Wadestown,2000-01-01,2026-06-01,4.35%,direct,"Between January 2000 and June 2026, Wadestown achieved a capital growth of 4.35%.",,"Between January 2000 and June 2026, Wadestown achieved a capital growth of 4.35%."
Waikanae,Waikanae,2000-01-01,2026-06-01,5.70%,direct,"Between January 2000 and June 2026, Waikanae achieved a capital growth of 5.70%.",,"Between January 2000 and June 2026, Waikanae achieved a capital growth of 5.70%."
Waikanae Beach,Waikanae Beach,2000-01-01,2026-06-01,6.22%,direct,"Between January 2000 and June 2026, Waikanae Beach achieved a capital growth of 6.22%.",,"Between January 2000 and June 2026, Waikanae Beach achieved a capital growth of 6.22%."
