Census Year,Subject population,Disability status,Tenure of household,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,65+,5.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,65+,6.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,65+,5.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,Total,2.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,Total,4.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,Total,3.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,5-14,42.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,5-14,32.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Age group,5-14,39.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,15-29,32.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,15-29,27,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Age group,15-29,30,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,30-64,40.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,30-64,29.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Age group,30-64,38.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,65+,12.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,65+,13.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Age group,65+,12.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,Total,34.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Age group,Total,22.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Age group,Total,32.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,5-14,7.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,5-14,5.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Age group,5-14,6.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,15-29,7.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,15-29,7.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Age group,15-29,7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,30-64,14.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,30-64,13.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Age group,30-64,13.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,65+,44.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,65+,37.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Age group,65+,42.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,Total,16.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Age group,Total,22.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Age group,Total,15.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,5-14,0,percentage,% of people where information available,
