Census Year,Subject population,Disability status,Tenure of household,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Middle Eastern/Latin American/African,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Middle Eastern/Latin American/African,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Middle Eastern/Latin American/African,58.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Middle Eastern/Latin American/African,66.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Middle Eastern/Latin American/African,60.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Middle Eastern/Latin American/African,2.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Middle Eastern/Latin American/African,2.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Middle Eastern/Latin American/African,2.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Middle Eastern/Latin American/African,0.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Middle Eastern/Latin American/African,1.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Middle Eastern/Latin American/African,1.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Middle Eastern/Latin American/African,4.3,percentage,% of people where information available,
